key,auctionSeason,Item,Display Name,Category
2020Aragonite,2020,Aragonite,Aragonite,Trade 2
2020Darkwood Plank,2020,Darkwood Plank,Darkwood Plank,Trade 1
2020Dwarven Steel,2020,Dwarven Steel,Dwarven Steel,Trade 1
2020Elven Bismuth,2020,Elven Bismuth,Elven Bismuth,Trade 2
2020Enchanter's Munition,2020,Enchanter's Munition,Enchanter's Munition,Trade 1
2020Fleece,2020,Fleece,Golden Fleece,Fleece
2020Guild Button,2020,Guild Button,Adventurers' Guild Button,Bonus
2020Minotaur Hide,2020,Minotaur Hide,Minotaur Hide,Trade 1
2020Monster Trophy,2020,Monster Trophy,Monster Trophy,Treasure Chest
2020Mystic Silk,2020,Mystic Silk,Mystic Silk,Trade 1
2020Oil of Enchantment,2020,Oil of Enchantment,Oil of Enchantment,Trade 2
2020Patron Pin,2020,Patron Pin,Patron Pin,Premium
2020PCH,2020,PCH,Potion Condensed Healing,Bonus
2020Philosopher's Stone,2020,Philosopher's Stone,Philosopher's Stone,Trade 1
2020Preorder Bonus,2020,Preorder Bonus,Averon's +3 Cherry Wine,Preorder
2020PYP,2020,PYP,Ultra Rare,Ultra Rare
2020Rare Bag,2020,Rare Bag,Rare Bag,Condensed
2020Treasure Chip,2020,Treasure Chip,Treasure Chip (each),Preorder
2020Uncommon Bag,2020,Uncommon Bag,Uncommon Bag,Condensed
2020Wish,2020,Wish,Wish Ring,Premium
"20211,000 GP Gold Bar",2021,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
20211k Bonus,2021,1k Bonus,7th Tooth of Cavadar,Premium
20212k Bonus,2021,2k Bonus,Goggles of Ethereal Vision,Premium
20213 Star,2021,3 Star,Tankard of Celebration,Bonus
20218k Bonus,2021,8k Bonus,Orb of Dragonkind (Ancient),Premium
2021Alchemist's Ink,2021,Alchemist's Ink,Alchemist's Ink,Trade 1
2021Alchemist's Parchment,2021,Alchemist's Parchment,Alchemist's Parchment,Trade 1
2021Aragonite,2021,Aragonite,Aragonite,Trade 2
2021Darkwood Plank,2021,Darkwood Plank,Darkwood Plank,Trade 1
2021Dwarven Steel,2021,Dwarven Steel,Dwarven Steel,Trade 1
2021Elven Bismuth,2021,Elven Bismuth,Elven Bismuth,Trade 2
2021Enchanter's Munition,2021,Enchanter's Munition,Enchanter's Munition,Trade 1
2021Fleece,2021,Fleece,Golden Fleece,Fleece
2021Guild Button,2021,Guild Button,Adventurers' Guild Button,Bonus
2021Minotaur Hide,2021,Minotaur Hide,Minotaur Hide,Trade 1
2021Monster Trophy,2021,Monster Trophy,Monster Trophy,Treasure Chest
2021Mystic Silk,2021,Mystic Silk,Mystic Silk,Trade 1
2021Oil of Enchantment,2021,Oil of Enchantment,Oil of Enchantment,Trade 2
2021Patron Pin,2021,Patron Pin,Patron Pin,Premium
2021Patron Token 1,2021,Patron Token 1,Ioun Stone Mystic Orb,Premium
2021PCH,2021,PCH,Potion Condensed Healing,Bonus
2021Philosopher's Stone,2021,Philosopher's Stone,Philosopher's Stone,Trade 1
2021Preorder Bonus,2021,Preorder Bonus,Potion Re-Pete Healing,Preorder
2021PYP,2021,PYP,Ultra Rare,Ultra Rare
2021Rare Bag,2021,Rare Bag,Rare Bag,Condensed
2021Treasure Chip,2021,Treasure Chip,Treasure Chip (each),Preorder
2021Uncommon Bag,2021,Uncommon Bag,Uncommon Bag,Condensed
2021Wish,2021,Wish,Wish Ring,Premium
"20221,000 GP Gold Bar",2022,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
20221k Bonus,2022,1k Bonus,Ring of the 5th Circle,Premium
20222k Bonus,2022,2k Bonus,+1 Turkey Leg of Smiting,Premium
20223 Star,2022,3 Star,Lenses of Hunting,Bonus
20228k Bonus,2022,8k Bonus,Orb of Dragonkind (Great Wyrm),Premium
2022Alchemist's Ink,2022,Alchemist's Ink,Alchemist's Ink,Trade 1
2022Alchemist's Parchment,2022,Alchemist's Parchment,Alchemist's Parchment,Trade 1
2022Aragonite,2022,Aragonite,Aragonite,Trade 2
2022Darkwood Plank,2022,Darkwood Plank,Darkwood Plank,Trade 1
2022Dwarven Steel,2022,Dwarven Steel,Dwarven Steel,Trade 1
2022Elven Bismuth,2022,Elven Bismuth,Elven Bismuth,Trade 2
2022Enchanter's Munition,2022,Enchanter's Munition,Enchanter's Munition,Trade 1
2022Fleece,2022,Fleece,Golden Fleece,Fleece
2022Guild Button,2022,Guild Button,Adventurers' Guild Button,Bonus
2022Minotaur Hide,2022,Minotaur Hide,Minotaur Hide,Trade 1
2022Monster Trophy,2022,Monster Trophy,Monster Trophy,Treasure Chest
2022Mystic Silk,2022,Mystic Silk,Mystic Silk,Trade 1
2022Oil of Enchantment,2022,Oil of Enchantment,Oil of Enchantment,Trade 2
2022Patron Pin,2022,Patron Pin,Patron Pin,Premium
2022Patron Token 1,2022,Patron Token 1,Ghost Accelerator,Premium
2022PCH,2022,PCH,Potion Condensed Healing,Bonus
2022Philosopher's Stone,2022,Philosopher's Stone,Philosopher's Stone,Trade 1
2022Preorder Bonus,2022,Preorder Bonus,+1 Turkey Leg,Preorder
2022PYP,2022,PYP,Ultra Rare,Ultra Rare
2022Rare Bag,2022,Rare Bag,Rare Bag,Condensed
2022Treasure Chip,2022,Treasure Chip,Treasure Chip (each),Preorder
2022Uncommon Bag,2022,Uncommon Bag,Uncommon Bag,Condensed
2022Wish,2022,Wish,Wish Ring,Premium
"20231,000 GP Gold Bar",2023,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
20231k Bonus,2023,1k Bonus,Ring of the 4th Circle,Premium
20232k Bonus,2023,2k Bonus,Grunnel's +2 Pointy Stick,Premium
20233 Star,2023,3 Star,Amulet of Magnifying,Bonus
20238k Bonus,2023,8k Bonus,Path to Enlightenment (Fragment 1),Premium
2023Alchemist's Ink,2023,Alchemist's Ink,Alchemist's Ink,Trade 1
2023Alchemist's Parchment,2023,Alchemist's Parchment,Alchemist's Parchment,Trade 1
2023Aragonite,2023,Aragonite,Aragonite,Trade 2
2023Darkwood Plank,2023,Darkwood Plank,Darkwood Plank,Trade 1
2023Dwarven Steel,2023,Dwarven Steel,Dwarven Steel,Trade 1
2023Elven Bismuth,2023,Elven Bismuth,Elven Bismuth,Trade 2
2023Enchanter's Munition,2023,Enchanter's Munition,Enchanter's Munition,Trade 1
2023Fleece,2023,Fleece,Golden Fleece,Fleece
2023Guild Button,2023,Guild Button,Adventurers' Guild Button,Bonus
2023Minotaur Hide,2023,Minotaur Hide,Minotaur Hide,Trade 1
2023Monster Trophy,2023,Monster Trophy,Monster Trophy,Treasure Chest
2023Mystic Silk,2023,Mystic Silk,Mystic Silk,Trade 1
2023Oil of Enchantment,2023,Oil of Enchantment,Oil of Enchantment,Trade 2
2023Patron Pin,2023,Patron Pin,Patron Pin,Premium
2023Patron Token 1,2023,Patron Token 1,Charm of Biting,Premium
2023PCH,2023,PCH,Potion Healer's Rum,Bonus
2023Philosopher's Stone,2023,Philosopher's Stone,Philosopher's Stone,Trade 1
2023Preorder Bonus,2023,Preorder Bonus,Gib Gub's Handy Acorn,Preorder
2023PYP,2023,PYP,Ultra Rare,Ultra Rare
2023Rare Bag,2023,Rare Bag,Rare Bag,Condensed
2023Stalker Token,2023,Stalker Token,Stalker Token,Treasure Chest
2023Treasure Chip,2023,Treasure Chip,Treasure Chip (each),Preorder
2023Uncommon Bag,2023,Uncommon Bag,Uncommon Bag,Condensed
2023Wish,2023,Wish,Wish Ring,Premium
"20241,000 GP Gold Bar",2024,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
20241k Bonus,2024,1k Bonus,Ring of the 3rd Circle,Premium
20242k Bonus,2024,2k Bonus,Mark of the 3rd Tenet,Premium
20243 Star,2024,3 Star,Chalice of Chugging,Bonus
20248k Bonus,2024,8k Bonus,Path to Enlightenment (Fragment 2),Premium
2024Alchemist's Ink,2024,Alchemist's Ink,Alchemist's Ink,Trade 1
2024Alchemist's Parchment,2024,Alchemist's Parchment,Alchemist's Parchment,Trade 1
2024Aragonite,2024,Aragonite,Aragonite,Trade 2
2024Darkwood Plank,2024,Darkwood Plank,Darkwood Plank,Trade 1
2024Dwarven Steel,2024,Dwarven Steel,Dwarven Steel,Trade 1
2024Elven Bismuth,2024,Elven Bismuth,Elven Bismuth,Trade 2
2024Enchanter's Munition,2024,Enchanter's Munition,Enchanter's Munition,Trade 1
2024Fleece,2024,Fleece,Golden Fleece,Fleece
2024Guild Button,2024,Guild Button,Adventurers' Guild Button,Bonus
2024Minotaur Hide,2024,Minotaur Hide,Minotaur Hide,Trade 1
2024Monster Trophy,2024,Monster Trophy,Monster Trophy,Treasure Chest
2024Mystic Silk,2024,Mystic Silk,Mystic Silk,Trade 1
2024Oil of Enchantment,2024,Oil of Enchantment,Oil of Enchantment,Trade 2
2024Patron Pin,2024,Patron Pin,Patron Pin,Premium
2024Patron Token 1,2024,Patron Token 1,Hireling Baker,Premium
2024PCH,2024,PCH,Potion Healer's Rum,Bonus
2024Philosopher's Stone,2024,Philosopher's Stone,Philosopher's Stone,Trade 1
2024Preorder Bonus,2024,Preorder Bonus,Averon's Cherry Ale,Preorder
2024PYP,2024,PYP,Ultra Rare,Ultra Rare
2024Rare Bag,2024,Rare Bag,Rare Bag,Condensed
2024Safehold III,2024,Safehold III,Safehold III,Safehold
2024Treasure Chip,2024,Treasure Chip,Treasure Chip (each),Preorder
2024Uncommon Bag,2024,Uncommon Bag,Uncommon Bag,Condensed
2024Wish,2024,Wish,Wish Ring,Premium
"20251,000 GP Gold Bar",2025,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
20251k Bonus,2025,1k Bonus,Ring of the 2nd Circle,Premium
20252k Bonus,2025,2k Bonus,Mark of the 2nd Tenet,Premium
20253 Star,2025,3 Star,Chalice of Chugging,Bonus
20258k Bonus,2025,8k Bonus,Path to Enlightenment (Fragment 3),Premium
2025Alchemist's Ink,2025,Alchemist's Ink,Alchemist's Ink,Trade 1
2025Alchemist's Parchment,2025,Alchemist's Parchment,Alchemist's Parchment,Trade 1
2025Aragonite,2025,Aragonite,Aragonite,Trade 2
2025Darkwood Plank,2025,Darkwood Plank,Darkwood Plank,Trade 1
2025Dwarven Steel,2025,Dwarven Steel,Dwarven Steel,Trade 1
2025Elven Bismuth,2025,Elven Bismuth,Elven Bismuth,Trade 2
2025Enchanter's Munition,2025,Enchanter's Munition,Enchanter's Munition,Trade 1
2025Fleece,2025,Fleece,Golden Fleece,Fleece
2025Golden Ticket,2025,Golden Ticket,Golden Ticket,Golden Ticket
2025Guild Button,2025,Guild Button,Adventurers' Guild Button,Bonus
2025Minotaur Hide,2025,Minotaur Hide,Minotaur Hide,Trade 1
2025Monster Trophy,2025,Monster Trophy,Monster Trophy,Treasure Chest
2025Mystic Silk,2025,Mystic Silk,Mystic Silk,Trade 1
2025Oil of Enchantment,2025,Oil of Enchantment,Oil of Enchantment,Trade 2
2025Patron Pin,2025,Patron Pin,Patron Pin,Premium
2025Patron Token 1,2025,Patron Token 1,Underling Dwarf Fighter,Premium
2025PCH,2025,PCH,Potion Healer's Rum,Bonus
2025Philosopher's Stone,2025,Philosopher's Stone,Philosopher's Stone,Trade 1
2025Preorder Bonus,2025,Preorder Bonus,Averon's Cherry Mead,Preorder
2025PYP,2025,PYP,Ultra Rare,Ultra Rare
2025Rare Bag,2025,Rare Bag,Rare Bag,Condensed
2025Treasure Chip,2025,Treasure Chip,Treasure Chip (each),Preorder
2025Uncommon Bag,2025,Uncommon Bag,Uncommon Bag,Condensed
2025Wish,2025,Wish,Wish Ring,Premium
"20261,000 GP Gold Bar",2026,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
202610x Treasure Chip,2026,10x Treasure Chip,Treasure Chip (each),Preorder
20261k Bonus,2026,1k Bonus,Ring of the 1st Circle,Premium
20262k Bonus,2026,2k Bonus,Mark of the 1st Tenet,Premium
20268k Bonus,2026,8k Bonus,Path to Enlightenment (Fragment 4),Premium
2026Alchemist's Ink,2026,Alchemist's Ink,Alchemist's Ink,Trade 1
2026Alchemist's Parchment,2026,Alchemist's Parchment,Alchemist's Parchment,Trade 1
2026Aragonite,2026,Aragonite,Aragonite,Trade 2
2026Darkwood Plank,2026,Darkwood Plank,Darkwood Plank,Trade 1
2026Dwarven Steel,2026,Dwarven Steel,Dwarven Steel,Trade 1
2026Elven Bismuth,2026,Elven Bismuth,Elven Bismuth,Trade 2
2026Enchanter's Munition,2026,Enchanter's Munition,Enchanter's Munition,Trade 1
2026Fleece,2026,Fleece,Golden Fleece,Fleece
2026Golden Ticket,2026,Golden Ticket,Golden Ticket,Golden Ticket
2026Guild Button,2026,Guild Button,Adventurers' Guild Button,Bonus
2026Herald Token,2026,Herald Token,Herald Token,Treasure Chest
2026Minotaur Hide,2026,Minotaur Hide,Minotaur Hide,Trade 1
2026Monster Trophy,2026,Monster Trophy,Monster Trophy,Treasure Chest
2026Mystic Silk,2026,Mystic Silk,Mystic Silk,Trade 1
2026Oil of Enchantment,2026,Oil of Enchantment,Oil of Enchantment,Trade 2
2026Patron Pin,2026,Patron Pin,Patron Pin,Premium
2026Philosopher's Stone,2026,Philosopher's Stone,Philosopher's Stone,Trade 1
2026Preorder Bonus,2026,Preorder Bonus,Drake's Draught,Preorder
2026PYP,2026,PYP,Ultra Rare,Ultra Rare
2026Treasure Chip,2026,Treasure Chip,Treasure Chip (each),Preorder
2026Wish,2026,Wish,Wish Ring,Premium
"20271,000 GP Gold Bar",2027,"1,000 GP Gold Bar","1,000 GP Gold Bar",Trade 2
202710x Treasure Chip,2027,10x Treasure Chip,Treasure Chip (each),Preorder
20271k Bonus,2027,1k Bonus,Ring of the 1st Circle,Premium
20272k Bonus,2027,2k Bonus,Mark of the 1st Tenet,Premium
20278k Bonus,2027,8k Bonus,Path to Enlightenment (Fragment 4),Premium
2027Alchemist's Ink,2027,Alchemist's Ink,Alchemist's Ink,Trade 1
2027Alchemist's Parchment,2027,Alchemist's Parchment,Alchemist's Parchment,Trade 1
2027Aragonite,2027,Aragonite,Aragonite,Trade 2
2027Darkwood Plank,2027,Darkwood Plank,Darkwood Plank,Trade 1
2027Dwarven Steel,2027,Dwarven Steel,Dwarven Steel,Trade 1
2027Elven Bismuth,2027,Elven Bismuth,Elven Bismuth,Trade 2
2027Enchanter's Munition,2027,Enchanter's Munition,Enchanter's Munition,Trade 1
2027Fleece,2027,Fleece,Golden Fleece,Fleece
2027Golden Ticket,2027,Golden Ticket,Golden Ticket,Golden Ticket
2027Guild Button,2027,Guild Button,Adventurers' Guild Button,Bonus
2027Minotaur Hide,2027,Minotaur Hide,Minotaur Hide,Trade 1
2027Monster Trophy,2027,Monster Trophy,Monster Trophy,Treasure Chest
2027Mystic Silk,2027,Mystic Silk,Mystic Silk,Trade 1
2027Oil of Enchantment,2027,Oil of Enchantment,Oil of Enchantment,Trade 2
2027Patron Pin,2027,Patron Pin,Patron Pin,Premium
2027Philosopher's Stone,2027,Philosopher's Stone,Philosopher's Stone,Trade 1
2027Preorder Bonus,2027,Preorder Bonus,Drake's Draught,Preorder
2027PYP,2027,PYP,Ultra Rare,Ultra Rare
2027Treasure Chip,2027,Treasure Chip,Treasure Chip (each),Preorder
2027Wish,2027,Wish,Wish Ring,Premium